"00-The Fool"	"該卡是關於金錢和金融的積極指標。期望股價和共同基金的上漲帶來不錯的收益。"
"12-The Hanged Man"	"如果您發現某些事情在您的工作場所或與商業，金錢或財務相關的情況下都不順利，建議您擺脫把責任歸咎於他人（甚至是您自己）的習慣。這張卡片想說，可能會出現與您當前工作相關的一些重要事項或情況。所以花點時間思考一切。"
"13-Death"	"如果您不喜歡您的工作，但仍然沒有計劃離開，因為這是您穩定收入的來源，否則，您就是未充分就業，您是時候離開自己的工作，因為很有可能失去它，無論是被迫還是被解僱。至於金融，您可能需要犧牲自己的利益來應對某些財務挑戰。所以，不要忽視您可能會發現的任何重新出現的問題。"
"14-Temperance"	"如果您避免與金錢相關的風險並在做出任何決定前保持謹慎，您可能會獲得經濟利益。"
"15-The Devil"	"由於該卡預測近期的經濟困難，建議您減少開支。而且，如果您需要幫助，請公開討論您與他人的問題。"
"16-The Tower"	"建議您不要進行任何風險投資，因為該卡預測了災難。試著弄清楚您在財務問題上的問題，然後以直截了當的方式處理它。"
"17-The Star"	"星星預示著未來的財政年度。無論您在債券和股票上投入了多少資金，現在都能獲得豐厚的回報。"
"18-The Moon"	"根據該卡，您需要等待一段時間才能繼續進行任何新的商業投資或資金投入。"
"19-The Sun"	"您很快就會獲得金錢收益。但要小心花費更多，因為可能有意外事件產生。"
"20-Judgement"	"您人脈越多，賺錢的機會就越多。如果您拖延繳納稅款，那麼儘快解決，因為違反法律會帶來更多問題。"
"21-The World"	"如果您投資股票和基金，您的財務狀況將會改善，獲得可觀的回報。如果您一直在考慮創辦一家獨立企業，那麼在這個時候承擔風險是沒有害處的。"
"22-Ace of Swords"	"不要將商業與情感混為一談，因為卡片表示欺騙合作夥伴和朋友。避免在未簽署適當法律合同的情況下貸款以避免損失。"
"23-Two of Swords"	"儘管存在一些嚴重的財務問題，但您仍處於拒絕模式，不願意接受現實。除非您意識到這一點，否則無法阻止進一步的損失。"
"24-Three of Swords"	"在此階段，您無法在財務上做好管理。可能會有貸款問題，甚至是您的頭腦中出現的贍養費緊張。您需要放鬆並製定可行的計劃。"
"25-Four of Swords"	"在金融領域，您面臨著償還貸款，處理多種投資和建立家庭的不當壓力。如果您可以卸下頭上的負擔，您會覺得更輕鬆。"
"26-Five of Swords"	"在進行任何交易之前，請注意資金是否以公平合法的方式處理。承認您的錯誤，提高您的財務地位，而不是責怪別人。"
"27-Six of Swords"	"慢慢地，您能夠克服困難，改善您的財務狀況。雖然您可能沒有大量的資金流動，但不會有任何損失或後果。"
"28-Seven of Swords"	"您可能在您的財務交易中被欺騙或欺騙，可能沒有任何有利的後果。但是最後，您會乾淨利落。"
"29-Eight of Swords"	"沒有痛苦就沒有收穫，您必須努力賺錢。與此同時，不要讓財富成為您個人生活的障礙。"
"30-Nine of Swords"	"您應該遏制貸款的傾向，因為盲目地信任某人會給您帶來巨大的損失。如果有人欺騙了您，請不要猶豫，採取嚴肅的法律行動。"
"31-Ten of Swords"	"在金融部分傳達的訊息是不利的，因為它表明失敗。在這個時候，對金融交易應非常謹慎並將保持小心風險。"
"32-Page of Swords"	"您可能聽不到關於您的投資回報或您的商業冒險的好消息。不要衝動，因為情況會逐漸改善。"
"33-Knight of Swords"	"您生命中很快就會出現意想不到的經濟收益。而且，您有很多賺錢的機會。"
"34-Queen of Swords"	"您有一些良好的賺錢機會，這將有助於提升您的財務狀況。"
"35-King of Swords"	"作為老闆或負責人，無論市場的起伏如何，您都需要保持冷靜的頭腦。既然您是一個理性的人，保持良好的財務狀況不會是一個巨大的挑戰。"
"36-Ace of Wands"	"除了從各種投資基金獲得豐厚回報外，您還可能以財產繼承和意外收入的形式獲得昂貴的禮物。"
"37-Two of Wands"	"由於您是一個優秀的策劃者，您的財務狀況將處於更好的狀態。想想其他儲蓄和投資方式，以確保您的未來安全。"
"38-Three of Wands"	"無論您為企業或儲蓄計劃付出多少努力，他們都將在適當的時候產生結果。您的財務狀況將逐漸增強。"
"39-Four of Wands"	"既然您已經很好地計劃了您的財務狀況並且節省了足夠的錢，那麼在一些物質上花費一些錢就可以讓您享受。但是，您應該知道底限在哪。"
"40-Five of Wands"	"您的財務可能存在某些問題。也許您已經超支或者錯誤地投資，這可能是您缺乏儲蓄的原因。"
"41-Six of Wands"	"您的財務狀況將得到改善，為您提供更多賺取外快的空間。密切關注其他投資方式，以增加資金流動。"
"42-Seven of Wands"	"無論是您的儲蓄，資產還是投資計劃，您都在謹慎處理它們以保護您的資金。計劃長期儲蓄以獲得最大利潤。"
"43-Eight of Wands"	"您將看到大量流入的金錢的持續流動。但是，請注意不要選擇高風險投資。"
"44-Nine of Wands"	"雖然您有一些積蓄，建議最好準備額外的現金做為緊急備用較為安全。"
"45-Ten of Wands"	"由於您頭上有很多責任，您的財務狀況並不好。嘗試通過與財務顧問交談來重組預算。"
"46-King of Wands"	"這張卡是關於商業的好兆頭。因此，如果計劃準備就緒，您可以考慮盡快開始您的企業。此外，您的金錢狀況可能會改善，從而增加資金流動。"
"47-Queen of Wands"	"您在邏輯上考慮不同的計劃以及可能帶來良好回報的商業。現在就預算維持和削減成本做出正確的決定。"
"48-Knight of Wands"	"如果您打算開展一項正常的業務，它應該運作良好。只要您不興奮地花費大量資金，資金流量就會增加。"
"49-Page of Wands"	"您將獲得收益，從您最近的投資中獲得豐厚回報。您也可以嘗試其他嘗試，但避免將所有雞蛋放在一個巢中。"
"50-Ace of Cups"	"在此期間，您的財務狀況將得到改善，這可能意味著批准或支付貸款。"
"51-Two of Cups"	"表明了富有成效的商業夥伴關係，它將獲得巨大的利潤並幫助您實現目標。由於您知道如何保持餘額，因此您的費用會影響您的儲蓄。"
"52-Three of Cups"	"財富的附著不是一種健康的做法，特別是當資金流量不變時。無論您擁有什麼，您的需求都會得到滿足 因此，試著遏制您的貪婪，努力工作。"
"53-Four of Cups"	"如果您希望獲得一些可觀的財務收益，請制定適當的計劃並設定可實現的目標。此時，您不應沉迷於有限的資源。"
"54-Five of Cups"	"由於可能會造成財務損失，該卡會警告您進入新的商業活動。但是，您可能有機會繼承屬性。"
"55-Six of Cups"	"您更有可能從親戚那裡繼承一些金錢或財產。另外，如果您打算進行投資，請遵循傳統方法。"
"56-Seven of Cups"	"投資機會很多，但是您需要良好的財務指導才能賺錢。"
"57-Eight of Cups"	"在金錢方面，可能會有財務損失。因此，請選擇合適的財務顧問和投資計劃，以免發生此類事故。如果您隸屬於一家商業公司，則可能很快就會離開它並開始新的嘗試。"
"58-Nine of Cups"	"您的財務努力將收穫豐碩的成果，並獲得人們期待已久的成功。您還有極大的信心來謹慎地處理金錢。"
"59-Ten of Cups"	"由於信用卡充裕，因此您在財務上將得到更多保障，而無需擔心任何額外支出。您可以考慮轉為個體經營，因為運氣就在您身邊。"
"60-Page of Cups"	"根據這張卡，您的金錢狀況將提高。但是，在進行任何投資或購買之前，請不要忘記進行研究。"
"61-Knight of Cups"	"如果您對自己的財務狀況有疑問，請在卡片傳達積極信息時進行重新檢查。"
"62-Queen of Cups"	"您的財務狀況應該很好。但是，它建議您利用自己的創造力，通過新的業務接觸其他人，並獲得他們的幫助，以獲得更多的金錢利益。"
"63-King of Cups"	"即使您目前的財務狀況很緊張，這張卡也會鼓勵您保持慷慨。永遠記住，付出越多，付出就越多。 由於聖杯國王與秘密貨幣交易有關，因此您可能有興趣涉足非常規業務。"
"64-Ace of Pentacles"	"由於這是一張意料之外的收益卡，因此，如果您獲得了可觀的投資回報，請不要感到驚訝。但是，請牢記財務安全，未雨綢繆準備一個儲蓄計劃。"
"65-Two of Pentacles"	"儘管該卡顯示出積極的預兆，但您在處理某些財務事項時的決定仍應謹慎。由於您可以很好地適應所有情況，因此確定來源的優先級將很容易。"
"66-Three of Pentacles"	"正確的財務計劃和管理將被證明是有用的。另外，您正在盡一切努力來獲得穩固的地位。"
"67-Four of Pentacles"	"您現在可以放心，因為生活中會有大量的資金流。除了您不斷增長的銀行帳戶之外，您還將幸運地贏得彩票並獲得繼承財產。"
"68-Five of Pentacles"	"由於這是一張財務損失卡，您將在金錢上面臨艱難時刻。在極端情況下，您可能會遭受貧困，無家可歸和突然破產的困擾。如果情況仍在控制之中，請採取所有措施以防止您的財務狀況受到破壞。"
"69-Six of Pentacles"	"由於您有幸獲得足夠的財富和財產，因此也要大方一些。如果您努力工作，則可望獲得豐厚的財務回報。"
"70-Seven of Pentacles"	"您的大部分投資都會獲得可觀的利潤，按照計劃為您提供急需的回報。"
"71-Eight of Pentacles"	"您為計劃美好的金融未來而付出的努力終於取得了成果。如果您進行一些良好的貨幣交易，您的財富就會增長更多。"
"72-Nine of Pentacles"	"您將從先前的投資中獲得豐厚的收益。會有超支的趨勢，但是您知道劃界的位置。"
"73-Ten of Pentacles"	"您可能會從早期的投資或繼承中獲得大量財富。"
"74-Page of Pentacles"	"您將可以從企業或投資中獲得收益。還可以獲取一些繼承的財富和財產。"
"75-Knight of Pentacles"	"如果您有一些長期的財務目標，則可以實現這些目標，從而為您帶來更好的回報。儘管您會密切注意自己的銀行帳戶，但仍有一些奢侈花費。"
"76-Queen of Pentacles"	"您有可能以固定的資金流量享受奢侈的生活。但是，在處理所有財務交易時，您要節儉。"
"77-King of Pentacles"	"由於此卡代表了財務收益，因此您不必擔心財富積累。無論您進行什麼投資，最終都會帶來豐厚的利潤。"
